#separator:tab
#html:true
#tags column:7
Kilogramme 	Les 7 unités de base du système international 	kg Masse 	A partir de mai 2019, cette unité est définie en fonction de la valeur numérique fixée de la constante de Planck. 	Masse d'un litre d'eau 		
Rayon 	Points, droites et segments en géométrie 	"Segment qui relie le centre d&#x27;un cercle à un point de sa circonférence. "				
Diamètre 	Points, droites et segments en géométrie 	"Segment qui joint deux points de la circonférence d&#x27;un cercle en passant par le centre. "				
Corde 	Points, droites et segments en géométrie 	Segment dont les extrémités se trouvent sur un même cercle. 				
Tangente 	Points, droites et segments en géométrie 	"Droite dont une partie devient arbitrairement proche d&#x27;un point d&#x27;une courbe et finit par la toucher. "				
Hypoténuse 	Points, droites et segments en géométrie 	"Dans un triangle rectangle, côté opposé à l&#x27;angle droit. "				
Bissectrice 	Points, droites et segments en géométrie 	Demi-droite qui coupe un angle en deux parties égales. 				
Centre du cercle inscrit 	Points, droites et segments en géométrie 	"Point d&#x27;intersection des bissectrices d&#x27;un triangle. "				
Médiatrice 	Points, droites et segments en géométrie 	Droite passant par le milieu du segment et qui est perpendiculaire au segment. 				
Centre du cercle circonscrit 	Points, droites et segments en géométrie 	Point d’intersection des médiatrices d’un triangle. 				
Médiane 	Points, droites et segments en géométrie 	"Droite reliant un sommet d&#x27;un triangle au milieu du côté opposé. "				
Centre de gravité 	Points, droites et segments en géométrie 	"Point d&#x27;intersection des médianes d&#x27;un triangle. "				leech
Hauteur 	Points, droites et segments en géométrie 	Droite passant par un sommet du triangle et perpendiculaire au côté opposé à ce sommet. 				
Orthocentre 	Points, droites et segments en géométrie 	"Point d&#x27;intersection des hauteurs d&#x27;un triangle. "				
"Droite d&#x27;Euler "	Points, droites et segments en géométrie 	"Dans un triangle, droite passant par l&#x27;orthocentre, le centre de gravité et le centre du cercle circonscrit. "				
Triangle 	Nom des polygones 	3 côtés 				
Quadrilatère 	Nom des polygones 	4 côtés 				
Pentagone 	Nom des polygones 	5 côtés 				
Hexagone 	Nom des polygones 	6 côtés 				
Heptagone 	Nom des polygones 	7 côtés 				
Octogone 	Nom des polygones 	8 côtés 				
Ennéagone 	Nom des polygones 	9 côtés 				
Décagone 	Nom des polygones 	10 côtés 				
Hendécagone 	Nom des polygones 	11 côtés 				
Dodécagone 	Nom des polygones 	12 côtés 				
Icosagone 	Nom des polygones 	20 côtés 				
Hectogone 	Nom des polygones 	100 côtés 				
Chiliogone 	Nom des polygones 	1 000 côtés 				
Myriagone 	Nom des polygones 	10 000 côtés 				
Téragone 	Nom des polygones 	Polygone ayant un très grand nombre de côtés, utilisé notamment dans la génération de fractales. 				
Mercure 	Planètes du Système solaire 	La plus proche du Soleil 	Aucun 	Planète tellurique, la plus petite et la plus légère du Système solaire 		
Vénus 	Planètes du Système solaire 	2e plus proche du Soleil 	Aucun 	"Planète tellurique dont la température au sol est la plus élevée (&amp;gt, 400 °C) en raison d&#x27;un important effet de serre "		
Terre 	Planètes du Système solaire 	3e plus proche du Soleil 	La Lune 	La plus massive des planètes telluriques 		
Mars 	Planètes du Système solaire 	4e plus proche du Soleil 	Déimos et Phobos 	Planète tellurique possédant le plus haut volcan du Système solaire (21 229 m) 		
Jupiter 	Planètes du Système solaire 	5e plus proche du Soleil 	92 satellites, dont Ganymède, Callisto, Io et Europe (satellites dits galiléens car découverts par Galilée) 	Planète gazeuse, la plus grande et la plus massive du Système solaire 		
Saturne 	Planètes du Système solaire 	6e plus proche du Soleil 	82 satellites, dont Titan et Encelade 	"Planète gazeuse notamment connue pour les anneaux qui l&#x27;entourent, la deuxième plus grande et plus massive "		
Uranus 	Planètes du Système solaire 	7e plus proche du Soleil 	27 satellites, dont Titania, Obéron, Umbriel, Ariel et Miranda 	Plus légère des géantes de glaces, découverte par Herschel en 1781 		
Neptune 	Planètes du Système solaire 	8e plus proche du Soleil 	14 satellites, dont Triton 	Plus petite des géantes de glaces, découverte par Le Verrier et Galle en 1846 		
Mètre 	Les 7 unités de base du système international 	m Longueur 	Longueur du trajet parcouru dans le vide par la lumière pendant une durée de 1/299 792 458 de seconde. 	"1/10 000 000 de la distance entre l&#x27;équateur et le Pôle Nord sur le méridien passant par Paris "		
Kilogramme 	Les 7 unités de base du système international 	kg Masse 	A partir de mai 2019, cette unité est définie en fonction de la valeur numérique fixée de la constante de Planck. 	"Masse d&#x27;un litre d&#x27;eau "		
Seconde 	Les 7 unités de base du système international 	s Temps (durée) 	"Durée de 9 192 631 770 périodes de la radiation correspondant à la transition entre les deux niveaux hyperfins de l&#x27;état fondamental de l&#x27;atome de césium 133 à la température du zéro absolu. "	"Division d&#x27;une journée en 24h de 60 minutes, chaque minute comprenant 60 secondes "		
Ampère 	Les 7 unités de base du système international 	A Courant électrique 	A partir de mai 2019, cette unité est définie en fonction de la valeur numérique fixée de la charge élémentaire, ou charge électrique du proton. 	"Initialement défini comme le courant requis pour provoquer le dépôt de 1,116 mg d&#x27;argent par seconde dans une solution de nitrate d&#x27;argent "		
Kelvin 	Les 7 unités de base du système international 	K Température 	A partir de mai 2019, cette unité est définie en fonction de la valeur numérique fixée de la constante de Boltzmann. 	Echelle de Celsius avec 0 pour valeur minimale 		
Mole 	Les 7 unités de base du système international 	mol Quantité de matière 	"A partir de mai 2019, cette unité est définie en fonction de la valeur numérique fixée du nombre d&#x27;Avogadro. "			
Candela 	Les 7 unités de base du système international 	cd Intensité lumineuse 	"Intensité lumineuse, dans une direction donnée, d&#x27;une source qui émet un rayonnement monochromatique de fréquence 540×1012 s-1 (hertz) et dont l&#x27;intensité énergétique dans cette direction est de 1/683 watt par stéradian. "	Lumière émise par une bougie standard, définissant une unité appelée bougie 		
10^1 	Préfixes associés aux puissances de 10 positives 	déca 	da 			
10^2 	Préfixes associés aux puissances de 10 positives 	hecto 	h 			
10^3 	Préfixes associés aux puissances de 10 positives 	kilo 	k 			
10^6 	Préfixes associés aux puissances de 10 positives 	méga 	M 			
10^9 	Préfixes associés aux puissances de 10 positives 	giga 	G 			
10^12 	Préfixes associés aux puissances de 10 positives 	téra 	T 			
10^15 	Préfixes associés aux puissances de 10 positives 	péta 	P 			
10^18 	Préfixes associés aux puissances de 10 positives 	exa 	E 			
10^21 	Préfixes associés aux puissances de 10 positives 	zetta 	Z 			
10^24 	Préfixes associés aux puissances de 10 positives 	yotta 	Y 			
10^27 	Préfixes associés aux puissances de 10 positives 	Ronna 	R 			
10^30 	Préfixes associés aux puissances de 10 positives 	Quetta 	Q 			
10^-1 	Préfixes associés aux puissances de 10 négatives 	déci 	d 			
