#separator:tab
#html:true
#tags column:7
Achille Talon 	BD et leurs créateurs 	Greg Un homme rondelet, son voisin Hilarion Lefuneste, sa fiancée Virgule de Guillemets 				
Alix 	BD et leurs créateurs 	Jacques Martin Un garçon d'origine gauloise, fils adoptif d'un Romain, et son ami Enak , leur ennemi Arbacès 				
Blueberry 	BD et leurs créateurs 	Jean-Michel Charlier (scénario) et Jean Giraud (dessin) Mike Steve Donovan, lieutenant américain dont le surnom est le titre de la BD 				
Corto Maltese 	BD et leurs créateurs 	Hugo Pratt Un aventurier, capitaine de la marine marchande 				
Les Bidochon 	BD et leurs créateurs 	Binet Robert et Raymonde dont la BD porte le nom de famille. Leur chien est le héros de la série Kador. 				
Le Concombre masqué 	BD et leurs créateurs 	Nikita Mandryka Un légume et son ami Chourave 				
Le Grand Duduche 	BD et leurs créateurs 	Cabu Un lycéen grand et maigre, son ami Momo et la fille du proviseur 				
Michel Vaillant 	BD et leurs créateurs 	Jean Graton Un pilote automobile, sa famille et Steve Warson, adversaire puis fidèle ami 				
Natacha 	BD et leurs créateurs 	François Walthéry Une hôtesse de l'air et son ami steward Walter 				
Quick et Flupke 	BD et leurs créateurs 	Hergé Deux garçons bruxellois 				
Spirou et Fantasio 	BD et leurs créateurs 	Rob-Vel , Jijé , Franquin Un groom et un journaliste, l'écureuil Spip, le comte de Champignac, le Marsupilami 				
XIII 	BD et leurs créateurs 	Jean Van Hamme (scénario) et William Vance (dessin) Un homme à la recherche de son identité, le major Jones, le général Carrington, la Mangouste 				
Nirvana 	Groupes de rock et leur leader 	"Kurt Cobain Image: <img src=""https://www.quizypedia.fr/site_media/images/803/803865153137.jpeg"">"				
Coldplay 	Groupes de rock et leur leader 	Chris Martin Image: <img src=https://www.quizypedia.fr/site_media/images/425/425267665769.jpeg>				
The Cure 	Groupes de rock et leur leader 	Robert Smith Image: <img src=https://www.quizypedia.fr/site_media/images/892/892849530188.jpeg>				
Muse 	Groupes de rock et leur leader 	Matthew Bellamy Image: <img src=https://www.quizypedia.fr/site_media/images/174/174970703335.jpeg>				
Blur 	Groupes de rock et leur leader 	Damon Albarn Image: <img src=https://www.quizypedia.fr/site_media/images/675/675893605988.jpeg>				
Green Day 	Groupes de rock et leur leader 	Billie Joe Armstrong Image: <img src=https://www.quizypedia.fr/site_media/images/361/361933824374.jpeg>				
Oasis 	Groupes de rock et leur leader 	Liam Gallagher Image: <img src=https://www.quizypedia.fr/site_media/images/963/963978326077.jpeg>				
Radiohead 	Groupes de rock et leur leader 	Thom Yorke Image: <img src=https://www.quizypedia.fr/site_media/images/018/018699074727.jpeg>				
Placebo 	Groupes de rock et leur leader 	Brian Molko Image: <img src=https://www.quizypedia.fr/site_media/images/285/285316928688.jpeg>				
The Cranberries 	Groupes de rock et leur leader 	Dolores O'Riordan Image: <img src=http://www.quizypedia.fr/site_media/images/307/307621585391.jpeg>				
Jean-Pierre Mader 	Tubes français des années 80  	Macumba 				
Jeanne Mas 	Tubes français des années 80  	En rouge et noir 				
Images 	Tubes français des années 80  	Les Démons de minuit 				
Vanessa Paradis 	Tubes français des années 80  	Joe le Taxi 				
Roch Voisine 	Tubes français des années 80  	Hélène 				
Sabine Paturel 	Tubes français des années 80  	Les Bêtises 				
Julie Piétri 	Tubes français des années 80  	Eve, lève-toi 				
Ottawan 	Tubes français des années 80  	T'es OK 				
Rita Mitsouko 	Tubes français des années 80  	Marcia Baila 				
Jean Schultheis 	Tubes français des années 80  	Confidence pour confidence 				
Philippe Cataldo 	Tubes français des années 80  	Les Divas du dancing 				
Laroche Valmont 	Tubes français des années 80  	T'as le look Coco 				
Raft 	Tubes français des années 80  	Yaka dansé 				
Gérard Blanchard 	Tubes français des années 80  	Rock Amadour 				
Vivien Savage 	Tubes français des années 80  	La P'tite Lady 				
Stéphanie de Monaco 	Tubes français des années 80  	Ouragan 				
Goldman et Jones 	Tubes français des années 80  	Je te donne 				
Philippe Lavil 	Tubes français des années 80  	Il tape sur des bambous 				
Peter et Sloane 	Tubes français des années 80  	Besoin de rien, envie de toi 				
Daniel Balavoine 	Tubes français des années 80  	L'Aziza 				
Jackie Quartz 	Tubes français des années 80  	Mise au point 				
Gold 	Tubes français des années 80  	Capitaine abandonné 				
Niagara 	Tubes français des années 80  	L'amour à la plage 				
Elsa 	Tubes français des années 80  	T'en va pas 				
Rose Laurens 	Tubes français des années 80  	Africa 				
Francis Lalanne 	Tubes français des années 80  	On se retrouvera 				
Lio 	Tubes français des années 80  	Amoureux solitaires 				
Chagrin d'amour 	Tubes français des années 80  	Chacun fait c'qui lui plaît 				
Phil Barney 	Tubes français des années 80  	Un enfant de toi 				leech
Philippe Lafontaine 	Tubes français des années 80  	Cœur de loup 				
Axel Bauer 	Tubes français des années 80  	Cargo 				
Hervé Cristiani 	Tubes français des années 80  	Il est libre, Max 				
