#separator:tab
#html:true
#tags column:7
Vercors 	Régions naturelles de France  	Dans l'est de la Drôme et le sud-ouest de l'Isère 	Ce plateau, culminant à 2341 mètres au Grand Veymont, est bordé d'impressionnantes falaises qui ont favorisé l'implantation d'un maquis sous l'Occupation. 			
Mont Rushmore 	Sites remarquables des États-Unis 	En haut de ce mont, objet d'un mémorial national américain, quatre des présidents les plus marquants de l'histoire américaine sont représentés. On y voit, de gauche à droite : George Washington, Thomas Jefferson, Theodore Roosevelt et Abraham Lincoln. Dakota du Sud 	Les sculptures réalisées sur ce site ont soulevé l'indignation des Amérindiens Lakotas pour qui ce lieu est sacré. 	<img src=https://www.quizypedia.fr/site_media/images/854/854681494789.jpeg>		
Afghanistan 	Surnoms des pays  	Le cimetière des Empires 				
Afrique du Sud 	Surnoms des pays  	La nation arc-en-ciel 				
Albanie 	Surnoms des pays  	Le pays des Aigles 				
Angleterre 	Surnoms des pays  	La Perfide Albion 				
Biélorussie 	Surnoms des pays  	La Russie blanche 				
Corée du Sud 	Surnoms des pays  	Le Pays du Matin calme 				
États-Unis 	Surnoms des pays  	Pays de l'Oncle Sam 				
Irlande 	Surnoms des pays  	L'île d'Émeraude 				
Madagascar 	Surnoms des pays  	L'île rouge 				
Sri Lanka 	Surnoms des pays  	La Larme de l'Inde 				
Thaïlande 	Surnoms des pays  	Le pays du sourire 				
Ukraine 	Surnoms des pays  	Le grenier de l'Europe 				
Avignon 	Surnoms de villes de France  	La Cité des papes 	Ville dont le surnom rappelle qu'elle a, entre 1309 et 1423, remplacé Rome comme résidence pontificale. De cette période glorieuse, il lui reste un palais grandiose. <img src=https://www.quizypedia.fr/site_media/images/212/212761663679.jpeg>			
Belfort 	Surnoms de villes de France  	La Cité du Lion 	Ville dont le surnom fait référence à l'œuvre sculptée d'Auguste Bartholdi, représentant un fauve couché au pied de la citadelle, et réalisée en hommage à la résistance de la ville lors du siège qu'elle subit en 1870 et 1871. <img src=https://www.quizypedia.fr/site_media/images/212/212532940289.jpeg>			
Besançon 	Surnoms de villes de France  	La Boucle 	Cette ville doit son surnom à la forme même du méandre du Doubs dans lequel son centre historique s'est développé. <img src=https://www.quizypedia.fr/site_media/images/508/508396207180.jpeg>			
Bordeaux 	Surnoms de villes de France  	Le Port de la Lune 	Le surnom, dû au méandre en forme de croissant décrit par la Garonne dans sa traversée de la ville, renvoie aussi à l'ensemble de la façade historique des quais, depuis que toute la zone a été classée au patrimoine mondial de l'Unesco. <img src=https://www.quizypedia.fr/site_media/images/611/611563075062.jpeg>			
Clermont-Ferrand 	Surnoms de villes de France  	Le Diamant noir 	"Ville dont le surnom fait référence à la pierre volcanique utilisée pour la construction de ses bâtiments historiques, particulièrement sa cathédrale, la ""pierre de Volvic"". <img src=https://www.quizypedia.fr/site_media/images/905/905319729636.jpeg>"			
La Rochelle 	Surnoms de villes de France  	La Ville blanche 	Les Anglais, qui ont longtemps occupé cette ville, l'ont qualifiée de la couleur de ses façades calcaires, de la pierre dont elle est construite. <img src=https://www.quizypedia.fr/site_media/images/092/092285899611.jpeg>			
Lyon 	Surnoms de villes de France  	La Capitale des Gaules 	Ville dont le surnom conserve le souvenir de ce qu'elle fut sous l'Empire romain : le centre politique, économique et culturel d'une province divisée en 3 parties. <img src=https://www.quizypedia.fr/site_media/images/409/409005269283.jpeg>			
Marseille 	Surnoms de villes de France  	La Cité phocéenne 	Ville qui doit son surnom aux colons grecs qui la fondèrent et qui venaient d'une cité d'Ionie située sur la mer Egée, près de Smyrne (aujourd'hui Izmir). <img src=https://www.quizypedia.fr/site_media/images/213/213846748657.jpeg>			
Nantes 	Surnoms de villes de France  	La Cité des Ducs 	Cette ville doit son surnom au fait que s'y trouve le château qui fut, jusqu'à Anne de Bretagne, la résidence principale de la famille régnant sur la province. <img src=https://www.quizypedia.fr/site_media/images/889/889661254638.jpeg>			
Reims 	Surnoms de villes de France  	Le Sourire de l'Europe 	Ville dont le surnom est dû à la présence, parmi les grandes statues ornant la façade de sa cathédrale, d'un ange dont le visage exprime un sentiment de béatitude. <img src=https://www.quizypedia.fr/site_media/images/929/929074260251.jpeg>			
Sète 	Surnoms de villes de France  	La Venise du Languedoc 	"La ville est traversée par de nombreux canaux et notamment par un ""grand canal"" qui fait penser à celui d'une célèbre ville d'Italie. <img src=https://www.quizypedia.fr/site_media/images/297/297617436316.jpeg>"			
Troyes 	Surnoms de villes de France  	Le Bouchon de Champagne 	Ville dont le centre historique, quartier médiéval resté quasiment intact, a la forme d'un objet associé à la production viticole. <img src=https://www.quizypedia.fr/site_media/images/996/996357753365.jpeg>			
